,Get Out,American Assassin,Transformers: The Last Knight,Spider-Man: Homecoming,Annabelle: Creation,Girls Trip
Karma,4.0,0.0,3.5,3.5,4.0,3.0
Esme,0.0,4.5,3.5,3.0,4.0,5.0
Tsering,4.5,0.0,3.5,3.0,3.5,4.5
Dilip,0.0,5.0,4.5,4.5,0.0,0.0
Tams,4.5,3.5,0.0,3.5,4.0,4.0
